canyudu,jiaoshiqinggan,jiatingnianshouru,muqinxueli,muqinzhiye,nianji,sex,xuexilequ,xueyeyali,juandai
25,26,4,3,3,6,1,27,33,1
30,27,1,3,3,5,2,27,30,1
50,44,2,1,1,6,1,41,20,0
29,27,1,2,3,6,2,30,35,1
50,45,1,3,1,1,2,44,10,0
50,45,2,2,1,1,1,45,10,0
29,44,2,2,2,1,1,36,30,0
50,45,1,2,1,2,1,45,50,1
39,36,2,2,2,1,2,35,25,0
20,23,3,2,2,1,2,26,33,0
30,35,1,1,1,1,1,31,20,0
40,36,2,1,1,1,1,36,22,0
29,34,1,2,1,1,2,33,27,0
37,44,4,2,2,6,1,39,44,1
40,31,2,2,1,1,2,34,31,0
36,36,1,2,1,1,1,36,28,0
40,34,2,2,1,1,1,36,20,0
46,35,1,2,1,1,1,35,10,0
25,41,2,3,1,6,1,28,44,0
10,29,3,2,1,1,1,21,46,0
31,29,1,2,1,1,1,35,23,0
32,31,1,2,1,1,1,37,29,0
32,36,1,2,1,1,2,34,26,0
30,36,2,2,1,1,2,36,20,0
39,39,2,2,1,1,1,34,24,0
42,40,1,2,1,1,1,45,22,0
50,44,2,2,1,1,2,45,12,0
39,35,2,2,2,1,2,36,17,0
40,43,3,1,1,1,2,36,39,0
30,36,1,2,1,1,1,36,22,0
10,21,1,2,1,2,1,21,32,1
32,26,2,2,1,4,1,34,25,0
26,27,4,4,2,1,1,27,36,0
30,27,2,1,1,4,1,27,30,1
33,37,2,2,1,2,2,36,32,0
30,21,2,2,3,6,2,26,32,0
10,45,2,2,1,6,1,33,36,1
24,32,1,2,1,2,2,25,30,1
10,42,5,2,2,5,1,45,46,1
48,36,1,2,3,6,2,45,27,0
32,36,1,2,1,5,2,33,37,0
26,41,3,3,2,5,1,25,50,1
32,32,1,2,1,2,2,33,40,0
10,9,2,2,2,4,1,21,42,1
40,36,1,3,2,4,2,36,25,0
30,45,1,2,1,1,1,37,37,0
44,34,5,2,3,6,2,32,30,0
34,27,2,1,1,5,1,34,17,0
36,36,4,2,2,4,1,36,39,1
29,21,1,1,1,1,2,24,44,1
20,22,3,3,1,5,1,21,30,1
30,27,1,2,1,6,2,27,30,1
38,35,1,2,1,1,2,39,23,0
37,33,1,2,1,1,1,39,27,0
30,27,4,4,3,5,2,27,30,1
30,27,2,2,3,1,2,27,35,0
40,37,1,2,1,1,2,41,19,0
26,28,1,1,1,6,2,29,27,0
50,45,5,2,2,4,1,45,14,0
31,38,2,2,1,5,2,32,33,0
30,31,3,2,2,4,2,25,40,0
40,28,5,5,5,4,2,27,50,1
32,30,1,2,1,1,1,27,37,1
27,29,1,2,3,2,2,28,40,0
30,27,4,2,1,4,2,27,23,0
30,33,2,2,1,5,2,31,38,0
33,39,1,2,1,1,1,34,39,0
30,33,1,2,3,4,1,31,46,1
38,45,2,3,1,6,1,38,40,0
31,34,2,2,1,1,2,31,35,0
30,27,1,3,3,6,2,27,31,0
39,36,1,2,2,2,1,36,20,0
34,32,3,3,3,6,2,29,28,0
30,34,1,2,1,2,2,29,33,1
24,41,2,2,3,4,2,38,28,0
34,37,2,3,2,6,2,35,26,0
30,27,5,3,1,6,2,27,30,1
39,45,2,2,1,4,1,40,33,0
30,36,2,4,4,4,1,41,30,1
40,44,2,2,1,1,2,34,24,0
10,45,1,2,3,4,1,45,30,0
30,29,3,2,3,1,2,26,36,0
26,27,2,2,1,2,2,26,32,1
30,29,2,2,1,5,2,27,29,1
40,36,2,2,1,1,2,36,40,1
40,24,1,2,1,6,2,32,30,0
34,29,2,3,4,1,2,29,32,0
14,24,1,1,1,6,1,13,47,1
31,31,2,2,3,6,1,30,30,0
40,36,2,2,1,1,2,43,22,0
30,45,1,2,3,6,1,45,22,0
50,9,4,2,1,6,1,9,18,0
20,36,2,2,3,6,2,32,25,1
37,44,4,2,3,4,2,33,33,0
30,27,2,2,1,5,2,26,41,1
22,30,2,2,1,6,1,26,26,0
16,43,2,2,1,6,2,25,35,1
31,33,1,2,1,6,2,31,17,0
31,30,2,2,1,6,2,30,31,1
26,30,2,2,1,4,2,23,41,1
30,27,1,3,1,6,1,27,31,1
21,35,2,1,1,6,1,24,16,0
38,35,2,2,1,4,2,35,20,0
21,17,3,2,1,5,1,18,37,0
30,27,1,2,3,5,2,27,32,0
30,27,2,1,1,2,1,27,20,0
22,28,1,2,3,6,1,9,46,1
20,36,1,2,1,2,2,36,37,0
36,44,5,4,4,4,1,36,24,0
30,21,5,4,4,4,2,32,29,0
35,35,3,1,1,6,1,34,34,0
33,35,3,2,2,1,2,34,33,0
46,39,2,2,1,1,2,43,34,0
30,27,1,4,1,6,1,27,31,1
29,36,2,2,1,2,1,35,22,0
40,36,3,2,1,6,2,45,11,0
50,45,4,2,3,2,2,41,10,0
40,43,1,2,1,1,2,40,27,0
39,45,1,2,3,2,2,38,27,0
34,40,1,2,1,6,1,36,34,0
30,27,3,2,1,4,1,27,34,0
27,24,2,2,1,2,1,28,38,1
30,27,5,3,2,6,1,27,32,0
30,27,1,2,1,2,2,27,27,0
30,30,2,3,3,5,1,29,30,0
40,36,1,3,1,6,1,36,20,0
30,31,1,3,3,5,2,28,39,1
25,25,3,2,1,2,2,27,29,0
36,37,1,1,1,6,1,38,31,1
48,41,2,2,1,1,1,43,23,0
20,25,2,2,1,6,1,23,26,0
30,35,3,4,3,3,2,34,30,1
33,33,3,1,1,6,2,35,30,0
30,28,1,3,4,1,2,38,32,0
15,27,2,3,3,3,2,25,25,0
40,35,5,2,1,6,1,36,20,0
50,45,4,5,5,2,1,45,50,1
50,45,2,3,1,2,1,45,50,1
30,36,2,2,1,3,1,30,28,0
32,36,2,1,1,6,2,33,33,0
50,38,2,3,3,2,1,45,50,1
31,39,2,3,2,6,1,34,22,0
20,18,1,2,1,2,1,18,18,0
50,45,4,2,1,4,2,45,18,0
30,36,1,3,1,4,2,34,29,0
20,38,1,3,1,2,1,32,31,0
36,26,1,2,2,6,2,36,16,0
30,36,2,2,1,6,1,36,30,0
40,35,2,2,1,2,1,24,40,0
40,36,1,2,1,2,2,39,32,0
38,36,2,2,2,6,2,36,31,0
34,28,3,2,1,3,2,33,32,0
30,27,5,2,2,5,1,27,30,1
41,31,3,3,3,1,2,31,20,0
40,45,1,2,1,6,1,44,33,0
32,21,1,2,1,2,2,25,31,1
32,37,3,3,1,4,1,34,25,0
28,35,2,3,1,1,1,28,30,0
30,21,1,2,1,5,2,26,43,1
45,35,3,2,1,6,1,37,29,0
30,23,3,3,2,5,1,23,29,1
35,28,2,4,3,6,2,35,35,0
30,27,1,1,1,6,1,36,30,1
50,45,2,2,1,6,2,45,28,0
30,31,1,3,3,4,2,31,26,0
24,29,4,2,4,5,1,26,25,1
30,27,4,4,3,4,2,35,31,0
29,32,3,1,1,2,1,28,29,0
30,27,4,3,1,4,2,26,31,0
30,27,1,1,3,2,1,27,28,1
33,36,1,2,1,6,1,31,35,1
20,45,1,3,2,2,1,29,40,1
30,27,1,2,1,2,2,27,30,1
30,27,4,1,1,6,1,27,30,1
10,9,1,2,1,5,1,9,10,0
26,31,2,2,1,2,2,25,35,1
30,27,1,2,1,1,2,27,30,1
25,29,3,2,2,4,2,25,32,0
37,28,1,1,1,6,1,31,39,1
10,9,1,1,1,2,1,9,10,0
40,36,2,2,3,1,1,36,23,0
34,27,2,2,1,1,1,27,33,0
28,36,3,3,4,4,1,36,21,0
29,18,1,1,1,6,2,17,32,0
33,23,2,2,1,6,2,31,37,0
16,24,3,2,1,2,1,20,37,1
32,32,4,2,1,6,1,35,39,0
47,45,1,2,1,5,2,45,27,0
39,36,1,2,1,3,1,37,22,0
30,36,2,1,3,6,2,27,34,1
50,45,1,2,1,5,2,45,20,0
29,27,1,1,1,2,1,31,31,1
28,32,4,2,3,6,1,28,36,1
40,36,2,2,1,3,1,36,22,0
38,35,1,2,3,4,1,36,31,0
20,27,1,2,3,3,1,26,38,0
10,15,2,4,2,2,1,13,50,1
27,27,2,2,1,5,1,22,35,1
24,22,2,2,1,2,1,23,38,0
26,34,2,1,1,1,1,30,23,0
33,36,5,2,1,4,2,33,32,0
20,33,5,4,3,6,1,29,50,1
50,45,2,2,1,3,1,45,10,0
30,12,2,2,2,6,1,22,39,0
27,27,1,2,1,2,2,29,38,0
40,36,1,2,1,6,2,36,26,0
23,28,2,2,2,4,2,27,27,0
30,27,2,1,1,6,1,26,26,0
13,9,2,2,1,2,2,15,40,1
29,22,2,3,3,6,2,26,36,0
30,27,1,2,1,6,1,27,10,0
31,36,3,2,3,6,1,31,23,0
36,22,2,2,1,6,1,26,34,0
30,18,2,2,1,6,1,23,35,1
30,27,3,4,2,1,1,27,30,1
36,33,5,2,2,6,1,37,24,0
28,36,3,2,1,2,2,31,21,0
35,36,2,2,3,6,2,37,24,0
32,36,4,2,2,6,1,36,20,0
50,45,1,3,1,6,2,45,10,0
50,45,2,2,3,4,1,45,10,0
20,24,2,2,3,5,2,22,35,1
10,9,2,2,1,2,2,9,40,1
30,37,2,2,1,6,1,35,39,0
20,23,2,2,1,6,2,21,33,1
34,28,3,3,4,6,2,31,33,0
40,36,4,2,2,1,1,36,18,0
30,30,1,3,1,1,2,32,29,0
50,32,1,1,1,6,1,45,33,0
32,32,4,2,2,6,2,29,35,0
27,33,2,2,3,2,1,33,30,0
30,27,1,3,1,2,2,28,30,0
47,43,3,3,1,6,1,43,13,0
50,45,4,4,4,6,2,45,10,0
24,42,2,2,1,2,1,39,35,0
33,32,2,2,1,3,2,38,14,0
20,18,2,2,1,2,1,36,23,0
28,32,1,1,1,1,1,26,42,1
29,18,1,2,1,6,1,29,42,1
37,35,2,2,1,3,2,36,32,0
24,27,1,1,1,6,2,27,32,1
31,34,2,1,1,6,2,36,29,0
30,26,1,2,1,3,2,25,29,0
30,27,3,2,3,6,1,27,30,1
30,40,2,2,3,2,1,36,30,1
30,27,1,2,1,2,1,27,30,1
37,45,3,1,1,6,2,37,20,0
50,45,3,2,2,6,2,45,29,0
39,36,2,1,1,6,1,31,24,0
50,45,3,3,1,6,1,45,30,0
20,27,1,2,1,6,1,25,43,1
30,27,1,2,1,2,1,27,30,1
31,30,2,2,1,6,2,31,36,1
30,27,2,2,3,6,1,27,24,0
38,35,3,3,3,6,1,36,23,0
50,45,2,2,1,3,2,45,34,0
30,29,2,2,3,6,1,27,32,1
31,36,1,2,1,2,1,34,34,0
33,22,1,2,1,2,2,24,27,0
25,29,1,2,1,6,2,25,39,1
40,36,2,2,1,6,2,36,10,0
45,43,5,4,4,4,2,45,18,0
22,45,1,2,1,6,1,28,14,0
39,31,1,1,1,3,1,37,39,1
31,29,2,2,1,1,2,33,30,0
30,34,1,4,4,1,2,33,25,0
30,27,2,2,1,4,1,27,30,1
34,31,2,2,1,3,2,33,30,0
40,36,2,2,2,6,1,36,23,0
15,27,3,2,3,2,2,15,27,0
40,36,4,4,4,6,1,35,24,0
31,32,2,2,1,2,1,29,30,1
20,31,2,2,1,2,2,30,39,0
28,26,1,1,1,6,2,26,34,1
34,24,1,3,3,6,2,27,31,0
30,27,2,1,1,6,1,27,30,1
30,27,1,1,1,2,1,27,30,1
22,28,2,2,1,2,2,28,36,0
30,32,3,1,1,6,1,28,17,0
27,29,2,2,1,2,1,35,31,0
39,30,2,2,1,6,2,34,37,0
46,42,5,4,3,4,2,44,19,0
20,35,2,1,1,6,1,25,43,1
30,34,1,2,2,3,1,27,21,0
20,23,2,2,1,5,2,25,27,1
40,30,1,3,2,6,2,36,30,0
50,45,4,4,4,2,1,45,50,1
30,34,1,2,1,2,1,36,32,0
38,33,2,3,4,6,2,36,13,0
29,29,2,2,1,6,2,27,33,0
10,36,4,2,1,2,1,36,10,0
34,29,4,2,1,6,2,32,25,0
30,27,2,2,2,4,1,27,40,1
50,45,2,1,1,2,1,45,50,1
12,19,1,3,1,3,1,21,45,1
38,41,1,3,1,1,2,38,44,0
21,27,2,1,2,2,1,23,32,1
30,27,2,2,1,6,1,27,30,0
21,21,2,3,1,2,2,19,31,1
27,25,2,2,3,2,1,27,29,0
50,36,2,2,3,5,2,41,25,0
33,31,1,1,1,6,2,34,17,0
32,36,2,1,1,5,2,36,34,0
30,27,4,3,3,6,2,27,30,0
31,32,2,2,2,6,2,31,30,0
48,36,3,3,1,2,1,43,25,0
26,42,3,2,1,2,1,35,34,0
30,27,1,2,3,4,2,29,20,0
28,27,2,3,2,2,1,22,27,0
20,27,3,2,1,1,1,24,22,1
31,34,1,2,2,6,2,31,33,0
48,45,2,2,1,2,2,45,15,0
30,29,2,1,1,5,2,30,31,0
30,27,1,2,1,2,2,27,32,1
26,29,1,2,1,2,2,32,27,0
30,45,1,2,1,4,1,43,33,0
24,21,3,1,1,6,1,27,30,0
29,27,2,2,1,6,2,27,23,0
33,33,1,2,1,2,2,28,39,0
31,28,1,2,1,2,2,34,31,1
34,27,1,2,1,2,2,27,36,0
38,35,2,3,1,6,2,33,37,0
20,18,1,2,1,2,1,20,40,1
33,32,2,2,3,3,1,30,35,0
50,45,1,2,1,4,1,45,13,0
26,42,2,2,1,6,1,28,46,1
37,35,2,1,1,6,1,33,30,0
40,36,1,2,3,6,1,36,28,0
30,36,2,2,3,4,2,33,30,1
34,44,2,3,2,4,1,35,20,0
31,28,2,2,1,1,2,33,30,0
50,45,3,2,3,2,2,45,50,1
23,27,1,2,1,5,1,27,35,1
30,27,2,3,1,2,1,27,30,1
30,32,2,2,1,6,2,30,26,0
31,30,1,2,1,2,2,38,25,0
11,31,2,2,1,6,2,16,39,1
30,15,1,1,1,1,2,21,36,1
20,27,1,2,1,2,1,22,31,1
29,41,4,4,4,4,1,31,29,0
20,15,2,2,1,2,1,17,30,1
34,38,3,4,4,1,1,37,40,0
29,25,3,2,3,1,2,27,33,0
39,45,1,2,1,4,2,42,30,0
26,27,1,2,1,6,2,26,35,1
48,9,4,3,4,6,2,32,32,0
31,36,1,3,3,6,1,34,24,0
35,25,1,1,1,5,2,34,44,0
30,35,3,3,1,4,1,31,30,0
22,15,1,2,1,2,1,21,38,1
30,27,2,2,2,3,2,27,35,0
30,27,1,2,1,5,2,27,34,1
22,13,2,2,1,3,1,18,34,1
16,30,1,1,1,3,2,28,47,1
32,30,1,2,1,3,2,31,31,1
25,25,1,2,1,3,2,27,35,1
30,27,3,2,2,6,2,30,38,0
31,30,3,3,3,6,2,30,19,0
30,27,1,2,1,2,1,27,30,1
47,33,1,1,1,3,2,41,20,0
32,31,2,2,1,1,2,35,27,0
24,27,2,2,1,6,1,24,32,0
10,13,1,1,4,5,1,9,38,1
46,39,4,4,4,6,2,43,16,0
32,28,2,2,3,3,2,29,23,0
13,25,4,3,3,5,1,17,36,1
40,37,2,2,1,3,1,37,32,0
36,45,4,2,1,3,1,34,42,1
27,39,1,2,1,3,2,31,34,0
50,45,1,1,1,2,2,45,50,1
30,27,2,2,1,2,2,27,30,1
38,45,2,5,5,4,1,45,30,0
20,35,2,1,1,6,2,31,30,0
43,35,2,2,1,1,2,40,16,0
30,27,1,2,1,2,1,27,30,1
32,27,1,2,1,2,2,27,22,0
22,32,2,1,1,5,2,26,20,0
35,36,2,2,2,4,1,36,26,0
20,39,1,2,1,3,1,33,26,1
30,27,2,2,2,5,1,27,30,1
36,32,3,2,1,3,1,31,34,0
37,36,1,2,1,1,2,36,30,0
22,24,4,2,1,3,2,31,20,0
40,36,2,3,2,5,2,36,10,0
10,22,2,2,1,4,2,9,40,1
35,34,2,3,1,6,1,33,36,1
40,28,4,2,1,6,2,29,30,0
41,35,1,1,1,6,2,36,31,0
30,27,3,1,3,6,1,27,30,1
33,37,2,2,1,6,2,34,36,0
50,45,4,3,3,4,1,45,11,0
32,25,3,2,1,6,2,28,40,1
30,27,2,2,1,1,2,27,31,1
28,28,2,2,3,1,2,30,43,0
30,22,2,3,2,6,2,29,32,1
27,27,4,2,3,6,1,24,32,0
24,36,2,3,1,6,1,30,19,0
30,12,3,2,1,6,2,27,24,0
33,33,5,2,1,6,2,34,30,0
30,27,1,1,1,6,2,27,31,1
32,40,4,2,3,6,2,34,29,0
28,27,1,3,1,6,2,32,28,0
40,36,2,2,1,5,1,35,26,0
14,18,2,2,1,5,1,13,22,1
31,36,1,2,1,4,1,33,32,0
30,27,1,2,1,2,1,27,30,1
34,35,1,2,4,6,2,36,31,0
20,27,2,2,1,6,1,21,44,1
25,9,1,2,1,6,2,24,34,0
20,16,2,2,1,6,1,18,43,1
26,36,2,2,1,3,1,30,35,0
50,35,2,2,1,4,2,39,22,0
27,45,1,2,1,5,1,33,24,1
40,36,2,2,3,6,2,36,30,0
34,36,2,2,2,2,1,32,26,0
31,28,4,1,1,6,2,31,33,1
30,39,1,1,1,6,1,35,28,0
31,25,1,1,1,6,2,35,30,0
50,45,1,2,1,3,1,45,50,1
29,24,1,2,3,6,2,27,33,0
10,15,2,1,3,2,1,9,10,0
17,32,1,1,1,2,2,25,37,1
40,36,1,2,1,1,1,36,13,0
13,18,1,1,1,1,1,9,35,1
10,16,2,2,3,2,1,19,43,1
28,25,1,1,1,3,1,27,29,0
34,17,1,3,3,1,2,20,28,0
30,27,2,2,1,6,1,27,34,0
38,33,5,3,4,4,2,35,21,0
31,27,2,2,1,1,1,32,38,0
34,30,2,3,2,1,2,31,35,0
30,27,2,3,1,5,2,27,30,1
21,18,2,3,1,6,2,18,43,1
30,28,1,2,1,1,1,27,32,1
27,31,1,2,3,3,2,31,22,0
39,27,1,2,1,1,1,34,27,0
30,27,2,3,1,2,1,27,30,0
30,27,1,2,1,1,1,27,30,1
10,27,1,2,1,1,2,27,31,1
32,20,1,1,1,1,1,27,28,0
13,29,1,1,1,1,1,22,15,0
25,14,1,2,1,2,2,20,25,1
30,27,1,2,1,6,2,27,30,1
34,37,2,1,2,1,1,38,30,0
40,36,2,2,1,1,2,38,21,0
38,35,2,1,2,1,1,33,22,0
29,27,1,2,1,3,2,25,42,0
30,27,1,2,1,1,1,27,30,1
30,27,2,1,1,6,1,27,30,0
20,32,2,1,1,1,2,27,22,0
30,27,2,2,1,6,1,27,30,1
22,35,1,2,1,1,1,30,41,1
30,32,1,2,1,6,2,30,32,0
36,40,4,3,2,1,2,35,33,0
42,37,1,2,4,1,2,34,33,0
28,14,2,2,1,2,1,26,27,0
29,35,1,1,2,4,1,30,29,0
30,27,2,2,1,2,2,27,30,1
30,27,1,2,1,6,2,27,30,1
22,22,2,2,1,2,1,27,32,1
39,35,2,2,2,4,1,36,23,0
22,22,1,2,1,3,2,18,41,1
21,18,1,1,1,1,1,18,33,0
29,29,2,2,1,1,1,35,30,0
25,28,3,2,1,6,2,27,36,0
30,25,1,1,1,1,1,28,27,0
30,25,2,3,3,1,2,20,43,1
13,9,1,2,1,2,2,9,22,1
50,43,1,2,1,1,2,42,10,0
29,25,2,1,1,3,2,19,32,1
23,39,2,2,3,1,1,26,26,0
37,36,2,2,3,4,2,36,30,0
48,44,5,3,1,2,1,45,24,0
30,27,2,3,1,6,2,27,30,1
30,27,2,2,1,6,2,27,30,1
42,35,1,3,1,1,2,34,25,0
35,31,2,2,1,2,2,32,33,0
30,27,1,2,1,3,1,27,28,0
24,19,2,1,1,1,1,28,25,0
29,38,1,2,1,1,1,32,50,1
30,27,2,2,1,4,2,27,30,0
30,27,2,2,3,3,2,27,30,1
29,29,1,2,3,1,2,29,34,0
28,29,1,3,1,2,2,24,25,1
30,27,1,2,1,1,1,27,32,0
33,27,4,4,4,4,2,28,22,0
21,26,1,2,1,6,2,26,45,0
33,30,3,2,2,4,2,28,36,0
26,32,1,2,2,2,1,27,26,0
28,41,4,4,4,4,1,33,29,0
29,34,3,2,3,5,2,36,14,0
50,45,1,3,3,5,2,45,10,0
40,36,2,1,1,5,1,36,20,0
40,36,1,2,1,5,2,36,29,0
22,19,2,2,3,6,2,21,26,0
32,45,2,1,2,5,1,35,40,0
42,45,2,1,1,5,2,44,23,0
17,23,1,2,1,6,2,27,38,0
27,45,1,1,1,5,1,32,28,0
28,35,1,2,1,5,2,29,35,0
37,36,1,1,1,5,2,35,26,0
10,9,2,2,1,6,1,9,10,0
40,41,2,2,1,5,2,45,19,0
40,42,1,1,1,5,1,39,31,0
40,36,2,2,1,5,1,36,21,0
29,34,1,1,1,5,1,31,36,1
30,27,3,3,3,5,1,27,32,0
29,35,2,2,1,5,1,30,33,0
30,27,3,3,3,4,1,27,30,0
45,45,1,1,1,5,1,45,26,0
42,40,2,2,1,5,1,39,31,0
40,43,1,3,1,5,2,45,21,0
14,28,2,2,1,3,2,22,38,1
39,45,2,2,2,5,2,43,26,0
30,35,4,3,1,4,2,30,32,0
30,36,1,3,1,5,1,31,28,0
50,45,4,2,2,5,2,43,12,0
30,33,4,1,1,5,1,31,30,0
50,45,2,2,1,1,1,45,50,1
50,45,2,2,1,5,2,45,10,0
30,27,2,2,3,2,2,27,30,1
35,35,2,3,2,1,1,33,29,0
28,27,2,2,1,6,1,26,28,0
50,45,2,2,1,2,1,45,20,0
29,35,2,2,2,4,2,36,20,0
17,32,1,2,1,4,2,21,34,1
30,27,1,2,1,2,2,27,30,1
30,27,1,1,1,6,1,27,39,1
21,32,2,2,1,1,1,35,33,0
30,27,1,1,1,6,1,27,30,1
31,35,1,2,1,3,1,30,38,1
38,44,4,3,3,4,2,41,15,0
31,35,2,3,4,4,1,30,47,1
20,22,2,3,3,3,2,25,29,0
50,45,2,2,3,5,1,43,11,0
31,32,4,3,3,5,1,31,42,0
30,27,2,2,1,6,1,27,30,1
37,36,4,2,1,5,1,35,35,0
45,45,3,2,1,5,1,43,18,0
34,34,3,2,1,2,2,34,33,0
32,32,1,2,1,5,1,37,26,0
30,27,3,2,1,4,1,27,30,1
32,25,1,2,2,1,1,27,30,1
40,35,3,1,1,5,2,34,28,0
50,45,2,1,1,1,1,35,30,0
40,36,2,3,1,1,2,36,21,0
40,34,1,2,1,2,2,36,21,0
30,27,1,1,1,1,1,27,30,1
30,27,2,1,1,1,1,27,30,1
37,43,2,2,1,5,1,38,21,0
29,27,1,2,1,1,2,29,28,0
24,31,1,2,1,5,2,32,26,0
50,45,1,2,1,6,2,45,10,0
49,45,2,3,3,1,2,44,21,0
30,36,1,2,1,6,1,36,20,0
30,27,1,2,1,2,1,27,30,1
30,27,3,3,3,4,1,27,30,1
30,30,2,2,3,3,1,36,33,1
40,45,2,4,2,5,2,39,25,0
32,36,1,2,1,3,1,36,23,0
20,28,2,1,1,1,2,27,25,0
40,36,2,3,3,5,1,36,29,0
29,29,1,2,1,5,1,27,28,0
37,38,2,2,1,6,1,39,27,0
32,31,1,2,1,1,2,30,32,0
30,27,1,1,1,6,1,27,29,0
30,27,2,2,1,1,1,31,28,0
30,34,1,2,1,1,1,33,30,0
36,41,2,2,1,1,1,45,33,1
37,34,1,1,1,1,1,34,23,0
35,30,1,2,1,1,2,29,35,0
30,36,4,2,2,6,1,35,25,0
15,39,2,2,1,5,1,24,35,1
10,30,1,1,1,2,1,26,31,1
30,27,2,3,3,3,1,27,30,1
30,27,1,2,3,1,2,27,38,1
30,27,5,3,3,6,1,27,30,1
30,27,2,2,1,1,1,27,30,0
30,27,1,2,3,2,1,27,30,1
42,28,1,3,1,6,2,35,23,0
30,35,3,2,2,4,1,29,37,0
31,33,1,3,1,6,2,35,12,0
40,45,2,4,4,4,1,36,27,0
27,45,1,2,1,1,2,42,36,0
31,29,1,1,3,1,1,20,33,1
30,27,2,1,1,6,2,27,33,0
28,29,1,1,1,1,1,26,29,0
26,28,2,2,1,1,1,26,26,0
37,43,3,3,3,5,1,35,36,0
40,33,3,2,1,3,1,34,21,0
40,36,3,1,1,3,2,35,34,0
31,38,2,2,2,4,1,35,22,0
30,24,2,2,1,1,1,31,30,0
10,9,2,2,3,1,1,29,10,0
29,30,2,2,1,2,2,26,34,0
38,36,2,2,1,1,1,35,32,0
50,43,3,3,1,1,1,45,10,0
28,28,1,2,1,2,2,26,33,0
25,23,1,2,1,6,1,20,34,0
30,43,1,2,1,2,1,41,31,0
40,38,1,2,1,1,2,29,39,0
23,27,2,2,1,1,1,27,28,0
31,28,2,1,1,3,1,31,26,0
46,42,4,3,3,5,1,44,14,0
30,27,1,2,3,1,2,27,30,1
21,23,1,2,1,2,2,27,31,0
32,25,2,1,1,6,1,21,41,1
33,34,2,2,3,1,2,32,24,0
37,36,1,3,1,1,2,36,35,0
24,21,3,2,3,5,1,23,47,1
27,31,2,2,1,4,2,27,33,0
24,25,1,1,1,4,1,21,40,1
50,44,1,1,2,2,1,45,26,0
50,45,1,2,2,2,1,45,10,0
41,38,1,4,3,1,2,43,28,0
16,38,2,1,1,2,1,22,43,1
27,33,2,2,1,3,1,25,28,0
27,36,2,2,1,1,1,26,39,0
37,43,5,3,1,4,1,36,25,0
31,35,2,2,1,1,2,32,28,0
32,41,2,2,1,3,1,36,35,0
34,36,3,3,2,5,2,36,34,0
30,9,1,1,1,6,2,20,41,1
30,36,1,1,1,6,2,30,31,0
31,23,2,2,2,6,2,31,32,0
30,27,1,2,1,6,1,27,33,0
40,36,1,2,2,5,2,36,22,0
27,27,3,4,4,6,1,27,30,0
28,45,2,1,1,2,1,34,18,0
10,23,1,1,1,4,2,32,34,0
31,39,2,3,2,5,1,32,29,1
27,23,1,2,1,2,2,27,26,0
24,25,4,3,3,1,1,27,31,1
50,45,1,2,1,6,2,45,11,0
30,27,3,2,1,4,1,27,30,1
27,26,2,2,1,3,2,24,32,0
38,28,2,2,2,6,1,34,25,0
27,38,2,2,1,2,1,34,26,1
29,35,3,2,1,6,2,32,29,0
21,32,1,2,1,2,1,25,22,0
16,22,1,2,1,2,1,23,24,0
26,25,3,2,1,3,1,26,28,0
25,24,2,2,1,3,2,24,33,0
30,36,3,2,1,3,1,32,22,0
20,27,5,2,3,2,1,26,32,0
32,22,1,1,1,3,2,25,35,0
37,36,2,2,3,2,1,24,45,0
10,9,5,5,5,4,1,9,50,1
36,37,1,3,1,4,1,27,39,0
33,34,3,2,1,4,2,32,27,0
30,27,2,1,1,1,2,27,30,1
32,31,4,2,3,6,1,25,36,1
30,27,1,1,1,4,1,27,30,1
18,20,1,2,1,1,2,18,39,0
20,22,1,3,1,6,2,21,34,1
40,27,2,2,1,6,1,37,14,0
